,rank,song_title,artist
0,1,montero (call me by your name),lil nas x
1,2,peaches,justin bieber featuring daniel caesar & giveon
2,3,leave the door open,silk sonic (bruno mars & anderson .paak)
3,4,up,cardi b
4,5,drivers license,olivia rodrigo
5,6,save your tears,the weeknd
6,7,levitating,dua lipa featuring dababy
7,8,blinding lights,the weeknd
8,9,mood,24kgoldn featuring iann dior
9,10,what you know bout love,pop smoke
10,11,tombstone,rod wave
11,12,astronaut in the ocean,masked wolf
12,13,what's next,drake
13,14,34+35,ariana grande
14,15,go crazy,chris brown & young thug
15,16,street runner,rod wave
16,17,best friend,saweetie featuring doja cat
17,18,calling my phone,lil tjay featuring 6lack
18,19,therefore i am,billie eilish
19,20,back in blood,pooh shiesty featuring lil durk
20,21,you broke me first.,tate mcrae
21,22,richer,rod wave featuring polo g
22,23,you're mines still,yung bleu featuring drake
23,24,beat box,spotemgottem featuring pooh shiesty or dababy
24,25,positions,ariana grande
25,26,on me,lil baby
26,27,dakiti,bad bunny & jhay cortez
27,28,heartbreak anniversary,giveon
28,29,my ex's best friend,machine gun kelly x blackbear
29,30,dynamite,bts
30,31,without you,the kid laroi
31,32,the good ones,gabby barrett
32,33,beautiful mistakes,maroon 5 featuring megan thee stallion
33,34,wants and needs,drake featuring lil baby
34,35,streets,doja cat
35,36,anyone,justin bieber
36,37,for the night,pop smoke featuring lil baby & dababy
37,38,whoopty,cj
38,39,no more parties,coi leray featuring lil durk
39,40,good days,sza
40,41,starting over,chris stapleton
41,42,what's your country song,thomas rhett
42,43,put your records on,ritt momney
43,44,cry baby,megan thee stallion featuring dababy
44,45,long live,florida georgia line
45,46,hold on,justin bieber
46,47,track star,mooski
47,48,we're good,dua lipa
48,49,hard for the next,moneybagg yo & future
49,50,heat waves,glass animals
50,51,you all over me (taylor's version) (from the vault),taylor swift featuring maren morris
51,52,lady,brett young
52,53,telepatia,kali uchis
53,54,forever after all,luke combs
54,55,soulfly,rod wave
55,56,goosebumps,travis scott & hvme
56,57,my head and my heart,ava max
57,58,time today,moneybagg yo
58,59,willow,taylor swift
59,60,just the way,parmalee x blanco brown
60,61,gone till november,rod wave
61,62,momma's house,dustin lynch
62,63,don't forget,rod wave
63,64,damage,h.e.r.
64,65,blame on you,rod wave
65,66,somebody like that,tenille arts
66,67,hell of a view,eric church
67,68,headshot,"lil tjay, polo g & fivio foreign"
68,69,big purr (prrdd),coi leray & pooh shiesty
69,70,lemon pepper freestyle,drake featuring rick ross
70,71,all i got,rod wave
71,72,as i am,justin bieber featuring khalid
72,73,breaking up was easy in the 90's,sam hunt
73,74,down to one,luke bryan
74,75,made for you,jake owen
75,76,hellcats & trackhawks,lil durk
76,77,masterpiece,dababy
77,78,la noche de anoche,bad bunny & rosalia
78,79,wasted on you,morgan wallen
79,80,monsters,all time low featuring demi lovato & blackbear 
80,81,body,megan thee stallion
81,82,real as it gets,lil baby featuring est gee
82,83,quicksand,morray
83,84,pick up your feelings,jazmine sullivan
84,85,pills & billz,rod wave
85,86,the business,tiesto
86,87,buss it,erica banks
87,88,how the game go,rod wave
88,89,omdb,rod wave
89,90,settling down,miranda lambert
90,91,almost maybes,jordan davis
91,92,glad you exist,dan + shay
92,93,clouds,nf
93,94,what's love??,rod wave
94,95,one too many,keith urban duet with p!nk
95,96,shock da world,rod wave
96,97,you got it,vedo
97,98,sneaky links,rod wave
98,99,nobody,dylan scott
99,100,girl like me,black eyed peas x shakira
